Name,Official Name,Continent,Capital,Largest City,Most Spoken Language,Demonym,HoS Title,Head of State,HoS Picture,HoG Title,Head of Government,HoG Picture,Population,Currency,Anthem,AnthemHtml,Globe,Flag,CoA,Acceptables
Azerbaijan,Republic of Azerbaijan,Asia,Baku,Baku,Azerbaijani,Azerbaijani,President,Ilham Aliyev,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Ilham_Heydar_oglu_Aliyev_-_President_of_the_Republic_of_Azerbaijan.jpg/220px-Ilham_Heydar_oglu_Aliyev_-_President_of_the_Republic_of_Azerbaijan.jpg,Prime Minister,Novruz Mammadov,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Novruz_%C4%B0smay%C4%B1l_o%C4%9Flu_M%C9%99mm%C9%99dov.jpg/220px-Novruz_%C4%B0smay%C4%B1l_o%C4%9Flu_M%C9%99mm%C9%99dov.jpg,"10,000,000",Manat,Az&#601;rbaycan mar&scedil;i,"<iframe src=""//commons.wikimedia.org/wiki/File:Az?rbaycan_mar??_instrumental.ogg?embedplayer=yes"" width=""220"" height=""20"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Azerbaijan_with_Nagorno_Karabakh_region.svg/250px-Azerbaijan_with_Nagorno_Karabakh_region.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Azerbaijan.svg/125px-Flag_of_Azerbaijan.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Emblem_of_Azerbaijan.svg/85px-Emblem_of_Azerbaijan.svg.png,Azerbaijan
Bahamas,Commonwealth of The Bahamas,North America,Nassau,Nassau,English,Bahamian,Queen,Elizabeth II,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Queen_Elizabeth_II_in_March_2015.jpg/220px-Queen_Elizabeth_II_in_March_2015.jpg,Prime Minister,Hubert Minnis,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Hubert_Minnis_2016.jpg/220px-Hubert_Minnis_2016.jpg,"391,232",Bahamian dollar,March On Bahamaland,"<iframe src=""//commons.wikimedia.org/wiki/File:National_anthem_of_the_Bahamas.oga?embedplayer=yes"" width=""220"" height=""20"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/The_Bahamas_on_the_globe_%28Americas_centered%29.svg/250px-The_Bahamas_on_the_globe_%28Americas_centered%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Flag_of_the_Bahamas.svg/125px-Flag_of_the_Bahamas.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Coat_of_arms_of_the_Bahamas.svg/85px-Coat_of_arms_of_the_Bahamas.svg.png,"Bahamas, The Bahamas"
Bahrain,Kingdom of Bahrain,Asia,Manama,Manama,Arabic,Bahraini,King,Hamad bin Isas Al Khalifa,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Hamad_bin_Isa_Al_Khalifa_April_2016.jpg/220px-Hamad_bin_Isa_Al_Khalifa_April_2016.jpg,Prime Minister,Khalifa bin Salman Al Khalifa,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Khalifa_ibn_Salman_Al_Khalifa.jpg/220px-Khalifa_ibn_Salman_Al_Khalifa.jpg,"1,425,171",Bahraini dollar,Bahrainona,"<iframe src=""//commons.wikimedia.org/wiki/File:Bahraini_Anthem.ogg?embedplayer=yes"" width=""220"" height=""20"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Bahrain_on_the_globe_%28Afro-Eurasia_centered%29.svg/250px-Bahrain_on_the_globe_%28Afro-Eurasia_centered%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Bahrain.svg/125px-Flag_of_Bahrain.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Emblem_of_Bahrain.svg/85px-Emblem_of_Bahrain.svg.png,Bahrain
Bangladesh,People's Republic of Bangladesh,Asia,Dhaka,Dhaka,Bengali,Bangladeshi,President,Abdul Hamid,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Abdul_Hamid_-_2014_%28cropped%29.jpg/220px-Abdul_Hamid_-_2014_%28cropped%29.jpg,Prime Minister,Sheikh Hasina Wazed,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Sheikh_Hasina_in_New_York_-_2018_%2844057292035%29_%28cropped%29.jpg/220px-Sheikh_Hasina_in_New_York_-_2018_%2844057292035%29_%28cropped%29.jpg,"162,951,560",Bangladeshi Taka,Amar Sona Bangla,"<iframe src=""//commons.wikimedia.org/wiki/File:Amar_Shonar_Bangla_instrumental.ogg?embedplayer=yes"" width=""220"" height=""20"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Bangladesh_%28orthographic_projection%29.svg/220px-Bangladesh_%28orthographic_projection%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_Bangladesh.svg/125px-Flag_of_Bangladesh.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/National_emblem_of_Bangladesh.svg/85px-National_emblem_of_Bangladesh.svg.png,Bangladesh
Barbados,Barbados,North America,Bridgetown,Bridgetown,English,Barbadian,Queen,Elizabeth II,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Queen_Elizabeth_II_in_March_2015.jpg/220px-Queen_Elizabeth_II_in_March_2015.jpg,Prime Minister,Mia Mottley,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Mia_mottley.jpg/220px-Mia_mottley.jpg,"277,821",Barbadian dollar,In Plenty and In Time of Need,"<iframe src=""//commons.wikimedia.org/wiki/File:In_Plenty_and_In_Time_of_Need_instrumental.ogg?embedplayer=yes"" width=""220"" height=""20"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/BRB_orthographic.svg/250px-BRB_orthographic.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Flag_of_Barbados.svg/125px-Flag_of_Barbados.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Coat_of_arms_of_Barbados_%282%29.svg/85px-Coat_of_arms_of_Barbados_%282%29.svg.png,Barbados
Belarus,Republic of Belarus,Europe,Minsk,Minsk,Belarusian,Belarusian,President,Alexander Lukashenko,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Alexander_Lukashenko_crop.jpeg/220px-Alexander_Lukashenko_crop.jpeg,Prime Minister,Sergey Rumas,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Syarhey_Rumas_%282018-09-21%29.jpg/220px-Syarhey_Rumas_%282018-09-21%29.jpg,"9,491,800",Belarusian ruble,Dziar&zcaron;a&ubreve;ny Himn Respubliki Bielaru&sacute;,"<iframe src=""//commons.wikimedia.org/wiki/File:My_Belarusy.ogg?embedplayer=yes"" width=""220"" height=""20"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Europe-Belarus_%28orthographic_projection%29.svg/220px-Europe-Belarus_%28orthographic_projection%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Flag_of_Belarus.svg/125px-Flag_of_Belarus.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Coat_of_arms_of_Belarus_%28official%29.svg/85px-Coat_of_arms_of_Belarus_%28official%29.svg.png,Belarus
Belgium,Kingdom of Belgium,Europe,Brussels,Brussels,Dutch,Belgian,King,Philippe,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/King_Philippe_of_Belgium_%28Belgian_National_Day%2C_2018%29.jpg/220px-King_Philippe_of_Belgium_%28Belgian_National_Day%2C_2018%29.jpg,Prime Minister,Charles Michel,https://upload.wikimedia.org/wikipedia/commons/e/ed/Vladimir_Putin_and_Charles_Michel_%282018-01-31%29_01_%28cropped%29.jpg,"11,420,163",Euro,La Braban&ccedil;onne,"<iframe src=""//commons.wikimedia.org/wiki/File:La_Brabançonne.oga?embedplayer=yes"" width=""220"" height=""20"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/EU-Belgium.svg/250px-EU-Belgium.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Belgium.svg/125px-Flag_of_Belgium.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Great_coat_of_arms_of_Belgium.svg/85px-Great_coat_of_arms_of_Belgium.svg.png,Belgium
Belize,Belize,North America,Belmopan,Belize City,English,Belizean,Queen,Elizabeth II,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Queen_Elizabeth_II_in_March_2015.jpg/220px-Queen_Elizabeth_II_in_March_2015.jpg,Prime Minister,Dean Barrow,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Belizean_Prime_Minister%2C_Dean_Barrow_in_London%2C_27_June_2013_%28cropped%29.jpg/220px-Belizean_Prime_Minister%2C_Dean_Barrow_in_London%2C_27_June_2013_%28cropped%29.jpg,"398,050",Belize dollar,Land of the Free,"<iframe src=""//commons.wikimedia.org/wiki/File:Land_of_the_Free_instrumental.ogg?embedplayer=yes"" width=""220"" height=""20"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/BLZ_orthographic.svg/250px-BLZ_orthographic.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Flag_of_Belize.svg/125px-Flag_of_Belize.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Coat_of_arms_of_Belize.svg/85px-Coat_of_arms_of_Belize.svg.png,Belize
Benin,Republic of Benin,Africa,Porto-Novo,Cotonou,French,Beninese,President,Patrice Talon,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Patrice_Talon_2016-04-06.jpg/220px-Patrice_Talon_2016-04-06.jpg,,,,"10,872,298",West African CFA franc,L'Aube Nouvelle,"<iframe src=""//commons.wikimedia.org/wiki/File:L'Aube_Nouvelle.ogg?embedplayer=yes"" width=""220"" height=""20"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Location_Benin_AU_Africa.svg/250px-Location_Benin_AU_Africa.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_Benin.svg/102px-Flag_of_Benin.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Coat_of_arms_of_Benin.svg/85px-Coat_of_arms_of_Benin.svg.png,Benin
Bhutan,Kingdom of Bhutan,Asia,Thimphu,Thimphu,Dzongkha,Bhutanese,King,Jigme Khesar Namgyei Wangchuk,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/King_Jigme_Khesar_Namgyel_Wangchuck_%28edit%29.jpg/220px-King_Jigme_Khesar_Namgyel_Wangchuck_%28edit%29.jpg,Prime Minister,Lotay Tshering,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Prime_Minister_of_Bhutan_Dr._Lotay_Tshering_on_December_28%2C_2018_%28cropped%29.jpg/220px-Prime_Minister_of_Bhutan_Dr._Lotay_Tshering_on_December_28%2C_2018_%28cropped%29.jpg,"727,145",Ngultrum,Druk tsendhen,"<iframe src=""//commons.wikimedia.org/wiki/File:Druk_tsendhen_instrumental.ogg?embedplayer=yes"" width=""220"" height=""20"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Bhutan_%28orthographic_projection%29.svg/250px-Bhutan_%28orthographic_projection%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Flag_of_Bhutan.svg/125px-Flag_of_Bhutan.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Emblem_of_Bhutan.svg/85px-Emblem_of_Bhutan.svg.png,Bhutan
Bolivia,Plurinational State of Bolivia,South America,"La Paz, Sucre",Santa Cruz de la Sierra,Spanish,Bolivian,President,Evo Morales,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Presidentes_del_Per%C3%BA_y_Bolivia_inauguran_Encuentro_Presidencial_y_III_Gabinete_Binacional_Per%C3%BA-Bolivia_%2836962597345%29_%28cropped%29.jpg/220px-Presidentes_del_Per%C3%BA_y_Bolivia_inauguran_Encuentro_Presidencial_y_III_Gabinete_Binacional_Per%C3%BA-Bolivia_%2836962597345%29_%28cropped%29.jpg,,,,"11,428,245",Boliviano,Himno Nacional de Bolivia,"<iframe src=""//commons.wikimedia.org/wiki/File:Himno_Nacional_de_Bolivia_instrumental.ogg?embedplayer=yes"" width=""220"" height=""20"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/BOL_orthographic.svg/220px-BOL_orthographic.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Flag_of_Bolivia_%28state%29.svg/125px-Flag_of_Bolivia_%28state%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Coat_of_arms_of_Bolivia.svg/85px-Coat_of_arms_of_Bolivia.svg.png,Bolivia
Bosnia and Herzegovina,Bosnia and Herzegovina,Europe,Sarajevo,Sarajevo,Bosnian,Bosnian,Chairman of the Presidency,Milorad Dodik,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Milorad_Dodik_%28cropped%29.jpg/220px-Milorad_Dodik_%28cropped%29.jpg,Chairman of the Council of Ministers,Denis Zvizdi&cacute;,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Denis_Zvizdic_June_2015_%2818761084058%29.jpg/220px-Denis_Zvizdic_June_2015_%2818761084058%29.jpg,"3,511,372",Bosnian,Dr&zcaron;avna himna Bosne i Hercegovine,"<iframe src=""//en.wikipedia.org/wiki/File:Bosnia_and_Herzegovina's_national_anthem.ogg?embedplayer=yes"" width=""220"" height=""20"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Europe-Bosnia_and_Herzegovina.svg/250px-Europe-Bosnia_and_Herzegovina.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Flag_of_Bosnia_and_Herzegovina.svg/125px-Flag_of_Bosnia_and_Herzegovina.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Coat_of_arms_of_Bosnia_and_Herzegovina.svg/60px-Coat_of_arms_of_Bosnia_and_Herzegovina.svg.png,"Bosnia, Bosnia Herzegovina, Bosnia and Herzegovina, Herzegovina"
